INDEX,ZIP,START_TIME,LATITUDE,LONGITUDE,DISTANCE_TO_FREEWAY,Elevation,SOUND_SCORE,NEAREST_ROAD,AVG_DB
181,92116,03:42,32.7574833,-117.1139702,0.404061018,119.7393646,69,18.81362874,59
182,92116,03:08,32.7664438,-117.1012194,0.404061018,111.9706268,76,23.16594648,58
183,92116,04:05,32.764904,-117.1416181,0.067343503,112.36483,71,16.92732618,58
184,92116,03:23,32.7644414,-117.1186541,0.471404521,122.6993561,74,5.628076817,57
185,92116,03:48,32.7589646,-117.1317375,0.269374012,115.3102417,67,20.97138811,62
186,92116,03:14,32.7737362,-117.1057469,0.336717515,116.3485336,72,33.72551725,59
187,92116,03:29,32.7656043,-117.1237407,0.134687006,122.1332169,70,15.38715298,56
188,92116,03:55,32.7576813,-117.1388555,0.740778533,104.0085297,69,0.000141688,71
189,92116,03:26,32.7644104,-117.1209831,0.269374012,122.3826523,73,12.53809021,64
190,92116,03:00,32.7614328,-117.1416939,0.336717515,106.0408249,74,23.3903608,64
191,92117,12:22,32.8295235,-117.2068778,1.077496048,106.1737137,71,18.73871097,54
192,92117,12:29,32.834849,-117.2272609,0.336717515,107.5621796,73,19.10179611,60
193,92117,12:16,32.837142,-117.184398,0.606091527,115.9632492,76,17.18068804,59
194,92119,03:22,32.8101252,-117.0109719,0.269374012,241.6381989,74,22.14983307,67
195,92119,03:05,32.8020276,-117.0233413,1.346870059,207.3787689,75,21.50230126,56
196,92119,02:54,32.7958073,-117.0464227,1.481557065,182.1040192,80,24.83526999,55
197,92119,03:00,32.7995021,-117.0257783,1.548900568,196.4620972,77,19.56593528,52
198,92119,03:10,32.795565,-117.013547,0.538748024,196.8519745,74,23.0039889,49
199,92119,03:14,32.800766,-117.0118843,0.336717515,209.2741699,69,13.62809429,58
200,92120,02:31,32.8051279,-117.0709267,2.289679101,74.73568726,78,25.75334056,48
201,92120,02:54,32.8112764,-117.0627437,2.761083622,179.826416,78,25.68186895,51
202,92120,02:38,32.811329,-117.069504,2.761083622,106.0551147,76,15.36607172,60
203,92120,02:14,32.7829714,-117.0893143,0.067343503,60.88233948,70,19.15244666,63
204,92120,02:22,32.7944725,-117.0844418,1.14483955,96.51091003,79,17.98031962,61
